 Time ,Mass ,LongitudinalMOI,RotationalMOI,CPLocation ,CGLocation,Mach number
15.6,14.657006,5.666661,0.039178,1.481773,1.108564,0.305847
15.65,14.657006,5.666661,0.039178,1.480566,1.108564,0.304151
15.7,14.657006,5.666661,0.039178,1.479802,1.108564,0.302452
15.75,14.657006,5.666661,0.039178,1.47961,1.108564,0.300748
15.8,14.657006,5.666661,0.039178,1.479905,1.108564,0.299043
15.85,14.657006,5.666661,0.039178,1.480539,1.108564,0.297341
15.9,14.657006,5.666661,0.039178,1.481866,1.108564,0.295625
15.95,14.657006,5.666661,0.039178,1.481434,1.108564,0.293982
16,14.657006,5.666661,0.039178,1.481999,1.108564,0.292311
16.05,14.657006,5.666661,0.039178,1.482969,1.108564,0.290631
16.1,14.657006,5.666661,0.039178,1.482732,1.108564,0.288967
16.15,14.657006,5.666661,0.039178,1.4824,1.108564,0.287318
16.2,14.657006,5.666661,0.039178,1.481364,1.108564,0.285641
16.25,14.657006,5.666661,0.039178,1.479702,1.108564,0.283936
16.3,14.657006,5.666661,0.039178,1.479063,1.108564,0.28226
16.35,14.657006,5.666661,0.039178,1.478439,1.108564,0.280573
16.4,14.657006,5.666661,0.039178,1.478098,1.108564,0.278885
16.45,14.657006,5.666661,0.039178,1.478823,1.108564,0.277226
16.5,14.657006,5.666661,0.039178,1.479706,1.108564,0.275562
16.55,14.657006,5.666661,0.039178,1.481285,1.108564,0.273918
16.6,14.657006,5.666661,0.039178,1.481771,1.108564,0.272231
16.65,14.657006,5.666661,0.039178,1.482458,1.108564,0.270563
16.7,14.657006,5.666661,0.039178,1.48066,1.108564,0.268924
16.75,14.657006,5.666661,0.039178,1.48017,1.108564,0.267247
16.8,14.657006,5.666661,0.039178,1.478426,1.108564,0.265624
16.85,14.657006,5.666661,0.039178,1.477339,1.108564,0.263993
16.9,14.657006,5.666661,0.039178,1.476581,1.108564,0.262365
16.95,14.657006,5.666661,0.039178,1.477259,1.108564,0.260701
17,14.657006,5.666661,0.039178,1.477646,1.108564,0.259063
17.05,14.657006,5.666661,0.039178,1.478871,1.108564,0.257409
17.1,14.657006,5.666661,0.039178,1.479138,1.108564,0.255799
17.15,14.657006,5.666661,0.039178,1.479924,1.108564,0.25418
17.2,14.657006,5.666661,0.039178,1.481293,1.108564,0.252547
17.25,14.657006,5.666661,0.039178,1.481736,1.108564,0.250929
17.3,14.657006,5.666661,0.039178,1.480148,1.108564,0.249295
17.35,14.657006,5.666661,0.039178,1.47831,1.108564,0.247647
17.4,14.657006,5.666661,0.039178,1.478209,1.108564,0.246054
17.45,14.657006,5.666661,0.039178,1.476365,1.108564,0.24439
17.5,14.657006,5.666661,0.039178,1.475716,1.108564,0.242758
17.55,14.657006,5.666661,0.039178,1.475416,1.108564,0.241126
17.6,14.657006,5.666661,0.039178,1.476828,1.108564,0.239545
17.65,14.657006,5.666661,0.039178,1.477223,1.108564,0.237919
17.7,14.657006,5.666661,0.039178,1.478485,1.108564,0.236316
17.75,14.657006,5.666661,0.039178,1.479154,1.108564,0.234687
17.8,14.657006,5.666661,0.039178,1.480656,1.108564,0.23315
17.85,14.657006,5.666661,0.039178,1.480026,1.108564,0.231518
17.9,14.657006,5.666661,0.039178,1.47973,1.108564,0.22988
17.95,14.657006,5.666661,0.039178,1.477683,1.108564,0.228311
18,14.657006,5.666661,0.039178,1.476451,1.108564,0.226722
18.05,14.657006,5.666661,0.039178,1.477076,1.108564,0.225077
18.1,14.657006,5.666661,0.039178,1.475494,1.108564,0.223523
18.15,14.657006,5.666661,0.039178,1.474778,1.108564,0.221951
18.2,14.657006,5.666661,0.039178,1.476095,1.108564,0.220317
18.25,14.657006,5.666661,0.039178,1.475803,1.108564,0.218753
18.3,14.657006,5.666661,0.039178,1.477338,1.108564,0.217134
18.35,14.657006,5.666661,0.039178,1.479062,1.108564,0.215516
18.4,14.657006,5.666661,0.039178,1.480162,1.108564,0.213926
18.45,14.657006,5.666661,0.039178,1.480636,1.108564,0.21236
18.5,14.657006,5.666661,0.039178,1.479173,1.108564,0.210734
18.55,14.657006,5.666661,0.039178,1.479544,1.108564,0.209198
18.6,14.657006,5.666661,0.039178,1.48009,1.108564,0.20767
18.65,14.657006,5.666661,0.039178,1.480139,1.108564,0.206124
18.7,14.657006,5.666661,0.039178,1.477951,1.108564,0.204497
18.75,14.657006,5.666661,0.039178,1.477108,1.108564,0.202914
18.8,14.657006,5.666661,0.039178,1.477295,1.108564,0.201363
18.85,14.657006,5.666661,0.039178,1.476791,1.108564,0.199783
18.9,14.657006,5.666661,0.039178,1.475943,1.108564,0.198186
18.95,14.657006,5.666661,0.039178,1.475909,1.108564,0.196612
19,14.657006,5.666661,0.039178,1.474374,1.108564,0.194978
19.05,14.657006,5.666661,0.039178,1.475412,1.108564,0.193429
19.1,14.657006,5.666661,0.039178,1.475984,1.108564,0.191858
19.15,14.657006,5.666661,0.039178,1.477005,1.108564,0.190297
