Altitude ,density 
591.809,1.157
589.151,1.157
586.494,1.158
583.838,1.158
581.182,1.158
578.527,1.159
575.872,1.159
573.219,1.159
570.566,1.159
567.913,1.16
565.262,1.16
562.611,1.16
559.96,1.161
557.31,1.161
554.661,1.161
552.013,1.162
549.365,1.162
546.718,1.162
544.072,1.162
541.426,1.163
538.781,1.163
536.137,1.163
533.493,1.164
530.85,1.164
528.207,1.164
525.566,1.164
522.925,1.165
520.284,1.165
517.644,1.165
515.005,1.166
512.367,1.166
509.729,1.166
507.092,1.166
504.455,1.167
501.82,1.167
499.184,1.167
496.55,1.168
493.916,1.168
491.283,1.168
488.651,1.169
486.019,1.169
483.388,1.169
480.758,1.17
478.128,1.17
475.499,1.17
472.871,1.17
470.243,1.171
467.616,1.171
464.99,1.171
462.364,1.172
459.74,1.172
457.115,1.172
454.492,1.173
451.869,1.173
449.247,1.173
446.626,1.173
444.005,1.174
441.385,1.174
438.766,1.174
436.147,1.175
433.529,1.175
430.911,1.175
428.295,1.176
425.679,1.176
423.064,1.176
420.449,1.177
417.835,1.177
415.222,1.177
412.609,1.177
409.997,1.178
407.386,1.178
404.775,1.178
402.165,1.179
399.556,1.179
396.948,1.179
394.34,1.18
391.733,1.18
389.126,1.18
386.52,1.18
383.915,1.181
381.31,1.181
378.706,1.181
376.103,1.182
373.501,1.182
370.899,1.182
368.298,1.183
365.697,1.183
363.097,1.183
360.498,1.184
357.899,1.184
355.301,1.184
352.704,1.184
350.108,1.185
347.512,1.185
344.916,1.185
342.322,1.186
339.728,1.186
337.135,1.186
334.542,1.187
331.95,1.187
329.359,1.187
326.768,1.187
324.178,1.188
321.589,1.188
319,1.188
316.412,1.189
313.824,1.189
311.238,1.189
308.652,1.19
306.066,1.19
303.481,1.19
300.897,1.19
298.314,1.191
295.731,1.191
293.149,1.191
290.567,1.192
287.986,1.192
285.406,1.192
282.826,1.193
280.247,1.193
277.669,1.193
275.091,1.193
272.514,1.194
269.938,1.194
267.362,1.194
264.787,1.195
262.213,1.195
259.639,1.195
257.066,1.195
254.493,1.196
251.921,1.196
249.35,1.196
246.779,1.197
244.209,1.197
241.64,1.197
239.071,1.198
236.503,1.198
233.936,1.198
231.369,1.198
228.803,1.199
226.237,1.199
223.672,1.199
221.108,1.2
218.544,1.2
215.981,1.2
213.419,1.201
210.857,1.201
208.296,1.201
205.736,1.201
203.176,1.202
200.617,1.202
198.058,1.202
195.5,1.203
192.943,1.203
190.386,1.203
187.83,1.203
185.274,1.204
182.719,1.204
180.165,1.204
177.612,1.205
175.059,1.205
172.506,1.205
169.955,1.206
167.403,1.206
164.853,1.206
162.303,1.206
159.754,1.207
157.205,1.207
154.657,1.207
152.11,1.208
149.563,1.208
147.017,1.208
144.471,1.208
141.926,1.209
139.382,1.209
136.838,1.209
134.295,1.21
131.753,1.21
129.211,1.21
126.67,1.21
124.129,1.211
121.589,1.211
119.05,1.211
116.511,1.212
113.973,1.212
111.435,1.212
108.898,1.213
106.362,1.213
103.826,1.213
101.291,1.213
98.756,1.214
96.222,1.214
93.689,1.214
91.156,1.215
88.624,1.215
86.093,1.215
83.562,1.215
81.031,1.216
78.502,1.216
75.973,1.216
73.444,1.217
70.916,1.217
68.389,1.217
65.862,1.217
63.336,1.218
60.811,1.218
58.286,1.218
55.761,1.219
53.238,1.219
50.715,1.219
48.192,1.219
45.67,1.22
43.149,1.22
40.628,1.22
38.108,1.221
35.589,1.221
33.07,1.221
